,index,full_name,club,age,league
1067,1328,James Collins,West Ham United,33,English Premier League
1068,1332,Admir Mehmedi,Bayer 04 Leverkusen,26,German Bundesliga
1069,1333,Caner Erkin,Be?ikta? JK,28,Turkish Süper Lig
1070,1335,Yassine Benzia,LOSC Lille,22,French Ligue 1
1071,1337,António Alberto Bastos Pimparel,Göztepe,35,Turkish Süper Lig
1072,1338,Costel Pantilimon,RC Deportivo de La Coruña,30,Spanish Primera División
1073,1339,Gianluca Lapadula,Genoa,27,Italian Serie A
1074,1343,Marvin Matip,FC Ingolstadt 04,31,German 2. Bundesliga
1075,1348,Marcus Coco,En Avant de Guingamp,21,French Ligue 1
1076,1349,Khouma Babacar,Fiorentina,24,Italian Serie A
1077,1350,Renato Júnior Luz Sanches,Swansea City,19,English Premier League
1078,1354,Mariano Izco,Crotone,34,Italian Serie A
1079,1356,Steve Mounié,Huddersfield Town,22,English Premier League
1080,1357,Daniel Brosinski,1. FSV Mainz 05,28,German Bundesliga
1081,1358,Roger Martí Salvador,Levante UD,26,Spanish Primera División
1082,1359,Dyego Wilverson Ferreira Sousa,SC Braga,27,Portuguese Primeira Liga
1083,1360,Nabil Dirar,Fenerbahçe SK,31,Turkish Süper Lig
1084,1363,Billy Ketkeophomphone,Angers SCO,27,French Ligue 1
1085,1364,Andrés Eduardo Fernández Moreno,Villarreal CF,30,Spanish Primera División
1086,1366,Alessandro Matri,Sassuolo,32,Italian Serie A
1087,1367,Tin Jedvaj,Bayer 04 Leverkusen,21,German Bundesliga
1088,1368,Eneko Bóveda Altube,Athletic Club de Bilbao,28,Spanish Primera División
1089,1369,Fabian Lustenberger,Hertha BSC Berlin,29,German Bundesliga
1090,1370,Jordan Ayew,Swansea City,25,English Premier League
1091,1371,Marco Storari,Milan,40,Italian Serie A
1092,1372,Loïs Diony,AS Saint-Étienne,24,French Ligue 1
1093,1374,Asier Riesgo Unamuno,SD Eibar,33,Spanish Primera División
1094,1378,Iago Herrerín Buisán,Athletic Club de Bilbao,29,Spanish Primera División
1095,1379,Gregory van der Wiel,Cagliari,29,Italian Serie A
1096,1381,Jakub B?aszczykowski,VfL Wolfsburg,31,German Bundesliga
1097,1382,Lucas Deaux,En Avant de Guingamp,28,French Ligue 1
1098,1384,Ermin Bi?ak?i?,TSG 1899 Hoffenheim,27,German Bundesliga
1099,1385,Leonardo Spinazzola,Atalanta,24,Italian Serie A
1100,1386,Anthony Knockaert,Brighton & Hove Albion,25,English Premier League
1101,1387,Peter Pekarík,Hertha BSC Berlin,30,German Bundesliga
1102,1390,Hiroki Sakai,Olympique de Marseille,27,French Ligue 1
1103,1391,Ja Cheol Koo,FC Augsburg,28,German Bundesliga
1104,1395,Fábio Santos Martins,SC Braga,23,Portuguese Primeira Liga
1105,1397,Manuel Schmiedebach,Hannover 96,28,German Bundesliga
1106,1399,Maicón Marques Bitencourt,Antalyaspor,27,Turkish Süper Lig
1107,1401,Levin Öztunali,1. FSV Mainz 05,21,German Bundesliga
1108,1402,Miloš Joji?,1. FC Köln,25,German Bundesliga
1109,1403,Santiago Mina Lorenzo,Valencia CF,21,Spanish Primera División
1110,1404,Giampaolo Pazzini,Hellas Verona,32,Italian Serie A
1111,1407,Valentin Stocker,Hertha BSC Berlin,28,German Bundesliga
1112,1408,Juan Pablo Añor,Málaga CF,23,Spanish Primera División
1113,1409,Luca Antonelli,Milan,30,Italian Serie A
1114,1410,Kévin Théophile-Catherine,AS Saint-Étienne,27,French Ligue 1
1115,1411,David Timor Copoví,Girona CF,27,Spanish Primera División
1116,1412,Breel Embolo,FC Schalke 04,20,German Bundesliga
1117,1413,Alexandre Letellier,Angers SCO,26,French Ligue 1
1118,1414,André Hahn,Hamburger SV,26,German Bundesliga
1119,1415,Alfred Duncan,Sassuolo,24,Italian Serie A
1120,1416,Marc Stendera,Eintracht Frankfurt,21,German Bundesliga
1121,1417,Andrea Ranocchia,Inter,29,Italian Serie A
1122,1418,Mauricio Isla,Fenerbahçe SK,29,Turkish Süper Lig
1123,1420,Thiago Maia Alencar,LOSC Lille,20,French Ligue 1
1124,1421,Bernardo Espinosa,Girona CF,27,Spanish Primera División
1125,1423,Nenad Tomovi?,Chievo Verona,29,Italian Serie A
1126,1424,Robbie Brady,Burnley,25,English Premier League
1127,1425,Lazar Markovi?,Liverpool,23,English Premier League
1128,1429,Sebastian De Maio,Bologna,30,Italian Serie A
1129,1432,Aytaç Sulu,SV Darmstadt 98,31,German 2. Bundesliga
1130,1436,Carlos Soler Barragán,Valencia CF,20,Spanish Primera División
1131,1437,Jon Ander Serantes Simón,CD Leganés,27,Spanish Primera División
1132,1438,Emmanuel Mas,Trabzonspor,28,Turkish Süper Lig
1133,1439,Carlos Manuel Cardoso Mané,VfB Stuttgart,23,German Bundesliga
1134,1440,Aritz Elustondo,Real Sociedad,23,Spanish Primera División
1135,1442,Óscar Romero,Deportivo Alavés,24,Spanish Primera División
1136,1444,Víctor Laguardia Cisneros,Deportivo Alavés,27,Spanish Primera División
1137,1445,Yussuf Poulsen,RB Leipzig,23,German Bundesliga
1138,1446,Aaron Cresswell,West Ham United,27,English Premier League
1139,1448,Douglas Renato de Jesus,Vitória Guimarães,34,Portuguese Primeira Liga
1140,1449,Víctor Camarasa Ferrando,Real Betis Balompié,23,Spanish Primera División
1141,1451,Paolo Hurtado,Vitória Guimarães,26,Portuguese Primeira Liga
1142,1452,Jonas Martin,RC Strasbourg,27,French Ligue 1
1143,1454,Aythami Artiles Oliva,UD Las Palmas,31,Spanish Primera División
1144,1457,Adrián González Morales,Málaga CF,29,Spanish Primera División
1145,1458,Mërgim Mavraj,Hamburger SV,31,German Bundesliga
1146,1459,Aaron Hunt,Hamburger SV,30,German Bundesliga
1147,1460,Florian Niederlechner,SC Freiburg,26,German Bundesliga
1148,1463,Arnaud Souquet,OGC Nice,25,French Ligue 1
1149,1464,Selçuk ?nan,Galatasaray SK,32,Turkish Süper Lig
1150,1465,Andy Delort,Toulouse FC,25,French Ligue 1
1151,1466,Joris Gnagnon,Stade Rennais FC,20,French Ligue 1
1152,1470,Rachid Ghezzal,AS Monaco,25,French Ligue 1
1153,1472,Rémy Cabella,AS Saint-Étienne,27,French Ligue 1
1154,1473,James Tarkowski,Burnley,24,English Premier League
1155,1475,Charly Musonda,Chelsea,20,English Premier League
1156,1478,Simon Francis,Bournemouth,32,English Premier League
1157,1480,Oleksandr Kucher,Kayserispor,34,Turkish Süper Lig
1158,1481,Nampalys Mendy,OGC Nice,25,French Ligue 1
1159,1484,Daniel Castelo Podence,Sporting CP,21,Portuguese Primeira Liga
1160,1485,Erdem ?en,CS Marítimo,28,Portuguese Primeira Liga
1161,1487,Matthew Lowton,Burnley,28,English Premier League
1162,1488,Ricardo José Monteiro,Rio Ave FC,33,Portuguese Primeira Liga
1163,1489,Chancel Mbemba,Newcastle United,22,English Premier League
1164,1490,Issa Diop,Toulouse FC,20,French Ligue 1
1165,1492,Cristiano Piccini,Sporting CP,24,Portuguese Primeira Liga
1166,1493,?ukasz Skorupski,Roma,26,Italian Serie A
1167,1494,Maxime Le Marchand,OGC Nice,27,French Ligue 1
1168,1495,Lucas Torreira,Sampdoria,21,Italian Serie A
1169,1496,Adrien Regattin,Osmanl?spor,25,Turkish Süper Lig
1170,1497,Marko Pjaca,Juventus,22,Italian Serie A
1171,1498,Rémy Vercoutre,SM Caen,37,French Ligue 1
1172,1499,José Pedro Malheiro de Sá,FC Porto,24,Portuguese Primeira Liga
1173,1500,François Kamano,Girondins de Bordeaux,21,French Ligue 1
1174,1501,Federico Cartabia,RC Deportivo de La Coruña,24,Spanish Primera División
1175,1502,Dario Dainelli,Chievo Verona,38,Italian Serie A
1176,1503,Luka Milivojevi?,Crystal Palace,26,English Premier League
1177,1504,Nicolas Pallois,FC Nantes,29,French Ligue 1
1178,1506,Benjamin Henrichs,Bayer 04 Leverkusen,20,German Bundesliga
1179,1507,Dennis Praet,Sampdoria,23,Italian Serie A
1180,1509,Gelson Tavares Fernandes,Eintracht Frankfurt,30,German Bundesliga
1181,1510,André Gomes Magalhães Almeida,SL Benfica,26,Portuguese Primeira Liga
1182,1511,Christopher Jullien,Toulouse FC,24,French Ligue 1
1183,1515,Mattia De Sciglio,Juventus,24,Italian Serie A
1184,1517,Žydr?nas Kar?emarskas,Osmanl?spor,34,Turkish Süper Lig
1185,1521,Omar Mascarell González,Eintracht Frankfurt,24,German Bundesliga
1186,1524,Thomas Heurtaux,Hellas Verona,28,Italian Serie A
1187,1526,Giovanni Simeone,Fiorentina,21,Italian Serie A
1188,1527,Emiliano Insúa,VfB Stuttgart,28,German Bundesliga
1189,1529,Thomas Kraft,Hertha BSC Berlin,28,German Bundesliga
1190,1530,Iñigo Lekue Martínez,Athletic Club de Bilbao,24,Spanish Primera División
1191,1531,Dominik Kohr,Bayer 04 Leverkusen,23,German Bundesliga
1192,1534,Ibai Gómez Pérez,Deportivo Alavés,27,Spanish Primera División
1193,1536,Yoric Ravet,SC Freiburg,27,German Bundesliga
1194,1538,Pere Pons Riera,Girona CF,24,Spanish Primera División
1195,1540,Otávio Henrique Passos Santos,Girondins de Bordeaux,23,French Ligue 1
1196,1541,Carlos Martínez Díaz,Real Sociedad,31,Spanish Primera División
1197,1545,Aleix Vidal Parreu,FC Barcelona,27,Spanish Primera División
1198,1546,Víctor García,Vitória Guimarães,23,Portuguese Primeira Liga
1199,1547,Alberto Moreno Pérez,Liverpool,24,English Premier League
1200,1548,Diego Rico Salguero,CD Leganés,24,Spanish Primera División
1201,1549,José Márcio da Costa,?stanbul Ba?ak?ehir FK,33,Turkish Süper Lig
1202,1550,Marc Muniesa Martínez,Girona CF,25,Spanish Primera División
1203,1552,Felipe Dal Bello,Ferrara (SPAL),32,Italian Serie A
1204,1553,Seko Fofana,Udinese,22,Italian Serie A
1205,1555,Alejandro Arribas Garrido,RC Deportivo de La Coruña,28,Spanish Primera División
1206,1557,Eren Derdiyok,Galatasaray SK,29,Turkish Süper Lig
1207,1558,Dimitrios Siovas,CD Leganés,28,Spanish Primera División
1208,1559,Lukas Lerager,Girondins de Bordeaux,23,French Ligue 1
1209,1560,David Rodriguez Lombán,SD Eibar,30,Spanish Primera División
1210,1563,Iván Cuéllar Sacristán,CD Leganés,33,Spanish Primera División
1211,1565,Jonas Lössl,Huddersfield Town,28,English Premier League
1212,1566,Ricardo Álvarez,Sampdoria,29,Italian Serie A
1213,1567,Arthur Masuaku,West Ham United,23,English Premier League
1214,1568,Rolando Jorge Pires da Fonseca,Olympique de Marseille,31,French Ligue 1
1215,1569,Francisco Rico Castro,SD Eibar,29,Spanish Primera División
1216,1570,Caiuby Fr. da Silva,FC Augsburg,28,German Bundesliga
1217,1571,Gabriel Appelt Pires,CD Leganés,23,Spanish Primera División
1218,1574,Volkan Demirel,Fenerbahçe SK,35,Turkish Süper Lig
1219,1581,Diafra Sakho,West Ham United,27,English Premier League
1220,1583,Michael Esser,Hannover 96,29,German Bundesliga
1221,1584,Yannick Gerhardt,VfL Wolfsburg,23,German Bundesliga
1222,1585,Robert Bauer,SV Werder Bremen,22,German Bundesliga
1223,1587,Robin Knoche,VfL Wolfsburg,25,German Bundesliga
1224,1588,Leon Balogun,1. FSV Mainz 05,29,German Bundesliga
1225,1589,Jimmy Durmaz,Toulouse FC,28,French Ligue 1
1226,1590,Nathan Aké,Bournemouth,22,English Premier League
1227,1592,Fransérgio Rodrigues Barbosa,SC Braga,26,Portuguese Primeira Liga
1228,1593,Jonathan Silva,Sporting CP,23,Portuguese Primeira Liga
1229,1594,Fayçal Fajr,Getafe CF,28,Spanish Primera División
1230,1596,Matt Ritchie,Newcastle United,27,English Premier League
1231,1598,Federico Chiesa,Fiorentina,19,Italian Serie A
1232,1600,Jeff Hendrick,Burnley,25,English Premier League
1233,1602,Philipp Bargfrede,SV Werder Bremen,28,German Bundesliga
1234,1603,Christian Träsch,FC Ingolstadt 04,29,German 2. Bundesliga
1235,1604,Jordan Amavi,Olympique de Marseille,23,French Ligue 1
1236,1605,Eduardo dos Reis Carvalho,Chelsea,34,English Premier League
1237,1607,Danilo D'Ambrosio,Inter,28,Italian Serie A
1238,1609,Dimitri Liénard,RC Strasbourg,29,French Ligue 1
1239,1610,Yohann Pelé,Olympique de Marseille,34,French Ligue 1
1240,1611,Héldon Augusto Almeida Ramos,Vitória Guimarães,28,Portuguese Primeira Liga
1241,1613,Wayne Routledge,Swansea City,32,English Premier League
1242,1614,Garry Mendes Rodrigues,Galatasaray SK,26,Turkish Süper Lig
1243,1615,Kévin Malcuit,LOSC Lille,25,French Ligue 1
1244,1616,Alexander Schwolow,SC Freiburg,25,German Bundesliga
1245,1617,Franco Di Santo,FC Schalke 04,28,German Bundesliga
1246,1618,Grégory Sertic,Olympique de Marseille,27,French Ligue 1
1247,1619,Marvin Zeegelaar,Watford,26,English Premier League
1248,1620,Remo Freuler,Atalanta,25,Italian Serie A
1249,1621,José Luis Sanmartín Mato,Newcastle United,27,English Premier League
1250,1623,Ömer Ali ?ahiner,Atiker Konyaspor,25,Turkish Süper Lig
1251,1626,Francisco Geraldes,Rio Ave FC,22,Portuguese Primeira Liga
1252,1628,Gonzalo Castro,Málaga CF,32,Spanish Primera División
1253,1630,Riechedly Bazoer,VfL Wolfsburg,20,German Bundesliga
1254,1633,Andreas Beck,VfB Stuttgart,30,German Bundesliga
1255,1634,Genki Haraguchi,Hertha BSC Berlin,26,German Bundesliga
1256,1637,Christophe Kerbrat,En Avant de Guingamp,30,French Ligue 1
1257,1638,Rafael Pinheiro Andrade Bittencourt,Cagliari,35,Italian Serie A
1258,1639,Álvaro Odriozola Arzalluz,Real Sociedad,21,Spanish Primera División
1259,1641,Matías Silvestre,Sampdoria,32,Italian Serie A
1260,1646,Glen Johnson,Stoke City,32,English Premier League
1261,1647,Eugen Pola?ski,TSG 1899 Hoffenheim,31,German Bundesliga
1262,1648,Nicolás Spolli,Genoa,34,Italian Serie A
1263,1653,Philipp Wollscheid,FC Metz,28,French Ligue 1
1264,1656,Miguel Torres Gómez,Málaga CF,31,Spanish Primera División
1265,1657,Josué Filipe Soares Pesqueira,Osmanl?spor,26,Turkish Süper Lig
1266,1659,Albano Bizzarri,Udinese,39,Italian Serie A
1267,1665,Sandro R. G. Cordeiro,Antalyaspor,28,Turkish Süper Lig
1268,1670,Geoffrey Bia,Kayserispor,27,Turkish Süper Lig
1269,1671,Emmanuel Badu,Bursaspor,26,Turkish Süper Lig
1270,1672,Mikel Agu,Bursaspor,24,Turkish Süper Lig
1271,1673,Gaëtan Bussmann,1. FSV Mainz 05,26,German Bundesliga
1272,1675,André Filipe Luz Horta,SC Braga,20,Portuguese Primeira Liga
1273,1676,Léo Dubois,FC Nantes,22,French Ligue 1
1274,1677,Ole Kristian Selnæs,AS Saint-Étienne,22,French Ligue 1
1275,1679,Alhassan Wakaso,Vitória Guimarães,25,Portuguese Primeira Liga
1276,1681,Edinaldo Gomes Pereira,RCD Espanyol,28,Spanish Primera División
1277,1682,Paulo Sérgio Mota,Grupo Desportivo de Chaves,25,Portuguese Primeira Liga
1278,1684,Ezequiel Schelotto,Brighton & Hove Albion,28,English Premier League
1279,1685,João Pedro da Silva Pereira,Trabzonspor,33,Turkish Süper Lig
1280,1686,Pablo Insua Blanco,FC Schalke 04,23,German Bundesliga
1281,1687,José Fernando Viana de Santana,Fenerbahçe SK,30,Turkish Süper Lig
1282,1688,Nathaniel Chalobah,Watford,22,English Premier League
1283,1694,Artur Ioni??,Cagliari,26,Italian Serie A
1284,1695,Ashley Young,Manchester United,31,English Premier League
1285,1696,Claudio Pizarro,1. FC Köln,38,German Bundesliga
1286,1698,Marten de Roon,Atalanta,26,Italian Serie A
1287,1699,Antonio Barreca,Torino,22,Italian Serie A
1288,1702,Patrick van Aanholt,Crystal Palace,26,English Premier League
1289,1703,Gustavo Gómez,Milan,24,Italian Serie A
1290,1704,Amato Ciciretti,Benevento Calcio,23,Italian Serie A
1291,1707,Etienne Didot,En Avant de Guingamp,33,French Ligue 1
1292,1709,Chris Brunt,West Bromwich Albion,32,English Premier League
1293,1710,Ahmed Hassan,SC Braga,24,Portuguese Primeira Liga
1294,1712,Jérémy Morel,Olympique Lyonnais,33,French Ligue 1
1295,1713,Bongani Zungu,Amiens SC Football,24,French Ligue 1
1296,1715,João Pedro G. Santos Galvão,Cagliari,25,Italian Serie A
1297,1716,Andrea Poli,Bologna,27,Italian Serie A
1298,1719,Nikola Vuk?evi?,SC Braga,25,Portuguese Primeira Liga
1299,1721,Ahmed Musa,Leicester City,24,English Premier League
1300,1723,Younès Kaboul,Watford,31,English Premier League
1301,1724,Niko Bungert,1. FSV Mainz 05,30,German Bundesliga
1302,1727,Jorge Franco Alviz,Deportivo Alavés,23,Spanish Primera División
1303,1729,Munir El Haddadi,Deportivo Alavés,21,Spanish Primera División
1304,1730,Giovanni Sio,Montpellier Hérault SC,28,French Ligue 1
1305,1731,Jeremy Toljan,Borussia Dortmund,22,German Bundesliga
1306,1736,Andrea Conti,Milan,23,Italian Serie A
1307,1739,Maarten Stekelenburg,Everton,34,English Premier League
1308,1740,Mauro Dos Santos,CD Leganés,27,Spanish Primera División
1309,1744,Dwight Gayle,Newcastle United,26,English Premier League
1310,1746,Maximiliano Gómez,RC Celta de Vigo,20,Spanish Primera División
1311,1747,Saphir Taïder,Bologna,25,Italian Serie A
1312,1750,Stefan Ilsanker,RB Leipzig,28,German Bundesliga
1313,1751,Fabián Castillo,Trabzonspor,25,Turkish Süper Lig
1314,1752,Luciano Narsingh,Swansea City,26,English Premier League
1315,1756,Steven Zuber,TSG 1899 Hoffenheim,25,German Bundesliga
1316,1757,Koffi Djidji,FC Nantes,24,French Ligue 1
1317,1761,Luca Rizzo,Ferrara (SPAL),25,Italian Serie A
1318,1763,Mariano Barbosa,Villarreal CF,32,Spanish Primera División
1319,1764,Bruno Daniel Castro Moreira,FC Paços de Ferreira,29,Portuguese Primeira Liga
1320,1769,Callum Wilson,Bournemouth,25,English Premier League
1321,1771,Ghislain Konan,Vitória Guimarães,21,Portuguese Primeira Liga
1322,1773,Stéphane Sessègnon,Montpellier Hérault SC,33,French Ligue 1
1323,1775,Diego Ângelo de Oliveira,Antalyaspor,31,Turkish Süper Lig
1324,1776,Christian Kabasele,Watford,26,English Premier League
1325,1777,Alexandru Maxim,1. FSV Mainz 05,26,German Bundesliga
1326,1780,Christian Mathenia,Hamburger SV,25,German Bundesliga
1327,1782,Chris Wood,Burnley,25,English Premier League
1328,1783,Nathan Dyer,Swansea City,29,English Premier League
1329,1786,Fabian Schär,RC Deportivo de La Coruña,25,Spanish Primera División
1330,1787,Hamit Alt?ntop,SV Darmstadt 98,34,German 2. Bundesliga
1331,1791,Danny Simpson,Leicester City,30,English Premier League
1332,1792,Haris Seferovi?,SL Benfica,25,Portuguese Primeira Liga
1333,1793,Emil Hallfreðsson,Udinese,33,Italian Serie A
1334,1797,Jake Livermore,West Bromwich Albion,27,English Premier League
1335,1798,Pierre Lees-Melou,OGC Nice,24,French Ligue 1
1336,1800,Douglas Justino de Melo,Hamburger SV,23,German Bundesliga
1337,1801,Joaquín Navarro Jiménez,UD Las Palmas,27,Spanish Primera División
1338,1802,Roberto Inglese,Chievo Verona,25,Italian Serie A
1339,1805,Erik Pieters,Stoke City,28,English Premier League
1340,1806,Cássio Albuquerque Anjos,Rio Ave FC,36,Portuguese Primeira Liga
1341,1810,Miguel Angel Britos,Watford,31,English Premier League
1342,1812,Alex McCarthy,Southampton,27,English Premier League
1343,1815,Daniel Castellano Betancor,UD Las Palmas,29,Spanish Primera División
1344,1816,Pierre-Emile Højbjerg,Southampton,21,English Premier League
1345,1817,Baptiste Santamaria,Angers SCO,22,French Ligue 1
1346,1818,Simone Scuffet,Udinese,21,Italian Serie A
1347,1819,Emiliano Moretti,Torino,36,Italian Serie A
1348,1820,Okay Yoku?lu,Trabzonspor,23,Turkish Süper Lig
1349,1821,Ivan Santini,SM Caen,28,French Ligue 1
1350,1823,Sebastian Jung,VfL Wolfsburg,27,German Bundesliga
1351,1824,Daniel Amartey,Leicester City,22,English Premier League
1352,1825,Ramazan Özcan,Bayer 04 Leverkusen,33,German Bundesliga
1353,1829,Imoh Ezekiel,Atiker Konyaspor,23,Turkish Süper Lig
1354,1830,Martin Olsson,Swansea City,29,English Premier League
1355,1832,Paolo Cannavaro,Sassuolo,36,Italian Serie A
1356,1833,Giulio Donati,1. FSV Mainz 05,27,German Bundesliga
1357,1835,Ola Toivonen,Toulouse FC,30,French Ligue 1
1358,1837,Filip ?or?evi?,Lazio,29,Italian Serie A
1359,1838,Rubén Blanco Veiga,RC Celta de Vigo,21,Spanish Primera División
1360,1839,Darko Lazovi?,Genoa,26,Italian Serie A
1361,1841,Pedro Tanausú Domínguez Placeres,UD Las Palmas,26,Spanish Primera División
1362,1842,Maya Yoshida,Southampton,28,English Premier League
1363,1843,Danilo Cataldi,Benevento Calcio,22,Italian Serie A
1364,1846,Samuel García Sánchez,Levante UD,27,Spanish Primera División
1365,1848,Jean-Philippe Gbamin,1. FSV Mainz 05,21,German Bundesliga
1366,1851,Aleksandar Mitrovi?,Newcastle United,22,English Premier League
1367,1852,Francisco Femenía Far,Watford,26,English Premier League
1368,1853,Calum Chambers,Arsenal,22,English Premier League
1369,1854,Luca Rigoni,Genoa,32,Italian Serie A
1370,1856,Charlie Daniels,Bournemouth,30,English Premier League
1371,1857,Enrique García Martínez,SD Eibar,27,Spanish Primera División
1372,1858,Konstantinos Stafylidis,FC Augsburg,23,German Bundesliga
1373,1860,Sabin Merino Zuloaga,Athletic Club de Bilbao,25,Spanish Primera División
1374,1862,Karl-Johan Johnsson,En Avant de Guingamp,27,French Ligue 1
1375,1863,Ishak Belfodil,SV Werder Bremen,25,German Bundesliga
1376,1864,Simone Missiroli,Sassuolo,31,Italian Serie A
1377,1865,Sergio Floccari,Ferrara (SPAL),35,Italian Serie A
1378,1867,Milan Škriniar,Inter,22,Italian Serie A
1379,1870,Nuno Miguel Sousa Pinto,Vitória Setúbal,30,Portuguese Primeira Liga
1380,1873,Hasan Ali Kald?r?m,Fenerbahçe SK,27,Turkish Süper Lig
1381,1877,Mubarak Wakaso,Deportivo Alavés,26,Spanish Primera División
1382,1878,Volkan ?en,Trabzonspor,29,Turkish Süper Lig
1383,1879,Ozan Tufan,Fenerbahçe SK,22,Turkish Süper Lig
1384,1880,Ivan Strini?,Sampdoria,29,Italian Serie A
1385,1881,Yvon Mvogo,RB Leipzig,23,German Bundesliga
1386,1883,Gaku Shibasaki,Getafe CF,25,Spanish Primera División
1387,1884,Will Hughes,Watford,22,English Premier League
1388,1885,Ibrahim Amadou,LOSC Lille,24,French Ligue 1
1389,1887,Jefferson Nascimento,SC Braga,28,Portuguese Primeira Liga
1390,1889,Kelechi Iheanacho,Leicester City,20,English Premier League
1391,1890,Riad Baji?,Udinese,23,Italian Serie A
1392,1891,Pirmin Schwegler,Hannover 96,30,German Bundesliga
1393,1892,Bobby Wood,Hamburger SV,24,German Bundesliga
1394,1893,Jaume Domenech Sánchez,Valencia CF,26,Spanish Primera División
1395,1894,Viktor Fischer,1. FSV Mainz 05,23,German Bundesliga
1396,1895,Daniel Ginczek,VfB Stuttgart,26,German Bundesliga
1397,1896,Malang Sarr,OGC Nice,18,French Ligue 1
1398,1899,Christian Maggio,Napoli,35,Italian Serie A
1399,1900,Salvador José Milhazes Agra,CD Aves,25,Portuguese Primeira Liga
1400,1902,Valentin Vada,Girondins de Bordeaux,21,French Ligue 1
1401,1904,Jérôme Gondorf,SV Werder Bremen,29,German Bundesliga
1402,1905,Mathias Jørgensen,Huddersfield Town,27,English Premier League
1403,1906,Jonathan Walters,Burnley,33,English Premier League
1404,1907,Ramy Bensebaini,Stade Rennais FC,22,French Ligue 1
1405,1909,James McArthur,Crystal Palace,29,English Premier League
1406,1910,Serdar Aziz,Galatasaray SK,26,Turkish Süper Lig
1407,1912,Stephen Ward,Burnley,31,English Premier League
1408,1913,Sven Ulreich,FC Bayern Munich,28,German Bundesliga
1409,1914,Borja García Freire,Girona CF,26,Spanish Primera División
1410,1915,Pedro Filipe Barbosa Moreira,FC Paços de Ferreira,24,Portuguese Primeira Liga
1411,1916,Andrew Robertson,Liverpool,23,English Premier League
1412,1920,Rubén Salvador Pérez del Mármol,CD Leganés,28,Spanish Primera División
1413,1922,Dominic Maroh,1. FC Köln,30,German Bundesliga
1414,1925,Karol Linetty,Sampdoria,22,Italian Serie A
1415,1926,Theo Hernández,Real Madrid CF,19,Spanish Primera División
1416,1927,Ricardo Jorge Novo Nunes,Grupo Desportivo de Chaves,34,Portuguese Primeira Liga
1417,1929,Oumar Niasse,Everton,27,English Premier League
1418,1930,Ervin Zukanovi?,Genoa,30,Italian Serie A
1419,1932,?ener Özbayrakl?,Fenerbahçe SK,27,Turkish Süper Lig
1420,1933,Antonio García Aranda,Levante UD,27,Spanish Primera División
1421,1934,Mattheus A. Gama de Oliveira,Sporting CP,22,Portuguese Primeira Liga
1422,1935,Ádám Szalai,TSG 1899 Hoffenheim,29,German Bundesliga
1423,1936,Adalberto Peñaranda,Málaga CF,20,Spanish Primera División
1424,1937,Bakary Koné,RC Strasbourg,29,French Ligue 1
1425,1940,Simon Falette,Eintracht Frankfurt,25,German Bundesliga
1426,1941,Alessio Cerci,Hellas Verona,29,Italian Serie A
1427,1942,Theodor Gebre Selassie,SV Werder Bremen,30,German Bundesliga
1428,1948,Serdar Gürler,Osmanl?spor,25,Turkish Süper Lig
1429,1949,Martín Mantovani,CD Leganés,32,Spanish Primera División
1430,1950,Andrew Surman,Bournemouth,30,English Premier League
1431,1951,Stefano Sensi,Sassuolo,21,Italian Serie A
1432,1952,Jordan Ferri,Olympique Lyonnais,25,French Ligue 1
1433,1953,Julián Omar Ramos Suárez,CD Leganés,29,Spanish Primera División
1434,1956,Aminu Umar,Osmanl?spor,22,Turkish Süper Lig
1435,1958,Nabil El Zhar,CD Leganés,30,Spanish Primera División
1436,1959,Kyle Naughton,Swansea City,28,English Premier League
1437,1960,Jefferson Lerma,Levante UD,22,Spanish Primera División
1438,1961,Toni Leistner,1. FC Union Berlin,26,German 2. Bundesliga
1439,1962,Matheus Lima Magalhães,SC Braga,24,Portuguese Primeira Liga
1440,1965,Marcel Halstenberg,RB Leipzig,25,German Bundesliga
1441,1966,James Tomkins,Crystal Palace,28,English Premier League
1442,1967,Lewis Dunk,Brighton & Hove Albion,25,English Premier League
1443,1969,Deniz Türüç,Kayserispor,24,Turkish Süper Lig
1444,1973,Almog Cohen,FC Ingolstadt 04,28,German 2. Bundesliga
1445,1977,Alberto de la Bella Madueño,Real Sociedad,31,Spanish Primera División
1446,1982,Cristian Chagas Tarouco,Bursaspor,29,Turkish Süper Lig
1447,1985,Djavan da Silva Ferreira,Grupo Desportivo de Chaves,29,Portuguese Primeira Liga
1448,1987,Antonio Manuel Luna Rodriguez,Levante UD,26,Spanish Primera División
1449,1990,Sejad Salihovi?,Hamburger SV,32,German Bundesliga
1450,1991,Craig Dawson,West Bromwich Albion,27,English Premier League
1451,1993,Marc Schnatterer,1. FC Heidenheim,31,German 2. Bundesliga
1452,1995,Marvin Compper,RB Leipzig,32,German Bundesliga
1453,1998,Yohan Benalouane,Leicester City,30,English Premier League
1454,2000,Harun Tekin,Bursaspor,28,Turkish Süper Lig
1455,2002,Adrián López Alvarez,RC Deportivo de La Coruña,29,Spanish Primera División
1456,2003,Giancarlo González,Bologna,29,Italian Serie A
1457,2004,Préjuce Nakoulma,FC Nantes,30,French Ligue 1
1458,2006,Welthon Fiel Sampaio,FC Paços de Ferreira,25,Portuguese Primeira Liga
1459,2009,Godfred Donsah,Bologna,21,Italian Serie A
1460,2010,Alberto Aquilani,UD Las Palmas,32,Spanish Primera División
