,index,full_name,club,age,league
3745,12050,Micha? Mi?kiewicz,CD Feirense,28,Portuguese Primeira Liga
3746,12054,Mehdi Léris,Chievo Verona,19,Italian Serie A
3747,12058,Lucas Mocio,Olympique Lyonnais,23,French Ligue 1
3748,12075,Pedro Lomba Neto,Lazio,17,Italian Serie A
3749,12077,Dener Gomes Clemente,Portimonense SC,25,Portuguese Primeira Liga
3750,12080,Martin Merquelanz,Real Sociedad,22,Spanish Primera División
3751,12088,Marco Friedl,FC Bayern Munich,19,German Bundesliga
3752,12098,Jordan Sebban,Toulouse FC,20,French Ligue 1
3753,12099,Diogo Leite de Sousa,Vitória Setúbal,23,Portuguese Primeira Liga
3754,12119,?brahim ??çi,Medicana Sivasspor,21,Turkish Süper Lig
3755,12132,Sinan Kurt,Hertha BSC Berlin,20,German Bundesliga
3756,12134,Quentin Braat,FC Nantes,19,French Ligue 1
3757,12143,Nikolas Nartey,1. FC Köln,17,German Bundesliga
3758,12153,Jon Guridi Aldalur,Real Sociedad,22,Spanish Primera División
3759,12154,Fabio González Estupiñán,UD Las Palmas,20,Spanish Primera División
3760,12158,Yohan Demoncy,Paris Saint-Germain,21,French Ligue 1
3761,12159,Bruno da Silva Fonseca,Moreirense FC,24,Portuguese Primeira Liga
3762,12163,Freddie Woodman,Newcastle United,20,English Premier League
3763,12173,Juan Valencia,Bologna,19,Italian Serie A
3764,12178,Ramiro Guerra,Villarreal CF,20,Spanish Primera División
3765,12181,Niko Kijewski,Eintracht Braunschweig,21,German 2. Bundesliga
3766,12182,Gédéon Kalulu,Olympique Lyonnais,19,French Ligue 1
3767,12186,Elisha Owusu,Olympique Lyonnais,19,French Ligue 1
3768,12187,Pau Francisco Torres,Villarreal CF,20,Spanish Primera División
3769,12190,Mirnes Pepi?,FC Erzgebirge Aue,21,German 2. Bundesliga
3770,12194,Imad Faraj,LOSC Lille,18,French Ligue 1
3771,12196,Francisco Feuillassier,Real Madrid CF,19,Spanish Primera División
3772,12199,Nathan Dekoké,Amiens SC Football,21,French Ligue 1
3773,12200,Filippo Romagna,Cagliari,20,Italian Serie A
3774,12205,Arne Maier,Hertha BSC Berlin,18,German Bundesliga
3775,12220,Erten Ersu,Fenerbahçe SK,23,Turkish Süper Lig
3776,12223,Elvis Rexhbecaj,VfL Wolfsburg,19,German Bundesliga
3777,12236,Najib Gandi,FC Nantes,23,French Ligue 1
3778,12238,Joshua Mees, SSV Jahn Regensburg,21,German 2. Bundesliga
3779,12239,Filippo Melegoni,Atalanta,18,Italian Serie A
3780,12246,Murat Y?ld?r?m,Evkur Yeni Malatyaspor,30,Turkish Süper Lig
3781,12251,Alec Georgen,Paris Saint-Germain,18,French Ligue 1
3782,12260,Mehdi Bourabia,Atiker Konyaspor,25,Turkish Süper Lig
3783,12267,João Ricardo Pereira Queirós,1. FC Köln,19,German Bundesliga
3784,12269,Gautier Lloris,OGC Nice,21,French Ligue 1
3785,12272,Jules Koundé,Girondins de Bordeaux,18,French Ligue 1
3786,12277,Jon Sillero Monreal,Athletic Club de Bilbao,19,Spanish Primera División
3787,12279,Florian Müller,1. FSV Mainz 05,19,German Bundesliga
3788,12296,Francisco Simões Rodrigues,Vitória Guimarães,20,Portuguese Primeira Liga
3789,12299,Jadon Sancho,Borussia Dortmund,17,German Bundesliga
3790,12310,Iker Amorrortu Andrinúa,SD Eibar,21,Spanish Primera División
3791,12314,Sven Müller,1. FC Köln,21,German Bundesliga
3792,12322,Jérémy Gélin,Stade Rennais FC,20,French Ligue 1
3793,12324,Edvinas Gertmonas,Stade Rennais FC,21,French Ligue 1
3794,12327,Numan Bostan Soysal,Gençlerbirli?i SK,19,Turkish Süper Lig
3795,12329,Tim Siedschlag,Holstein Kiel,29,German 2. Bundesliga
3796,12344,Filipe José Lima Mendes,CF Os Belenenses,32,Portuguese Primeira Liga
3797,12382,Jake Clarke-Salter,Chelsea,19,English Premier League
3798,12384,Nicolas Ruscio Garmendia,Udinese,19,Italian Serie A
3799,12387,Réda Rabei,Amiens SC Football,22,French Ligue 1
3800,12390,Jens Jønsson,Atiker Konyaspor,24,Turkish Süper Lig
3801,12398,Hakan Demir,Kasimpa?a SK,19,Turkish Süper Lig
3802,12403,Ablie Jallow,FC Metz,18,French Ligue 1
3803,12408,Junior Pius,Tondela,21,Portuguese Primeira Liga
3804,12411,José Pedro Costa Leite,CD Feirense,20,Portuguese Primeira Liga
3805,12413,Oliver McBurnie,Swansea City,21,English Premier League
3806,12419,Marco Tumminello,Crotone,18,Italian Serie A
3807,12421,Mickaël Cuisance,Borussia Mönchengladbach,17,German Bundesliga
3808,12422,Elias Abouchabaka,RB Leipzig,17,German Bundesliga
3809,12425,Tafari Moore,Arsenal,19,English Premier League
3810,12432,Callum Gribbin,Manchester United,18,English Premier League
3811,12434,Rémy Descamps,Paris Saint-Germain,21,French Ligue 1
3812,12435,Zachary Dearnley,Manchester United,18,English Premier League
3813,12439,Utku Yuvakuran,Be?ikta? JK,19,Turkish Süper Lig
3814,12456,Morgan Poaty,Montpellier Hérault SC,19,French Ligue 1
3815,12459,Olivier Verdon,Girondins de Bordeaux,21,French Ligue 1
3816,12474,Juan José Narváez,Real Betis Balompié,22,Spanish Primera División
3817,12488,Marian Sarr,VfL Wolfsburg,22,German Bundesliga
3818,12491,Einar Galilea Azaceta,Deportivo Alavés,22,Spanish Primera División
3819,12499,Orhan Ta?delen,Akhisar Belediyespor,30,Turkish Süper Lig
3820,12505,Tosin Adarabioyo,Manchester City,19,English Premier League
3821,12507,José María Amo Torres,Sevilla FC,19,Spanish Primera División
3822,12508,Gino Fechner,1. FC Kaiserslautern,19,German 2. Bundesliga
3823,12514,Andoni Gorosabel Espinosa,Real Sociedad,20,Spanish Primera División
3824,12519,Muhammed ?engezer,Bursaspor,20,Turkish Süper Lig
3825,12521,Imanol Sarriegi Sasa,SD Eibar,22,Spanish Primera División
3826,12522,Jeff Reine-Adelaïde,Arsenal,19,English Premier League
3827,12523,Gabriel Barbosa Avelino,Ferrara (SPAL),18,Italian Serie A
3828,12534,Federico Bonazzoli,Ferrara (SPAL),20,Italian Serie A
3829,12541,Killian Sanson,Montpellier Hérault SC,20,French Ligue 1
3830,12553,Hamdou Elhouni,Grupo Desportivo de Chaves,23,Portuguese Primeira Liga
3831,12559,Sargis Adamyan, SSV Jahn Regensburg,24,German 2. Bundesliga
3832,12561,Dan-Patrick Poggenberg,MSV Duisburg,25,German 2. Bundesliga
3833,12567,Richard Neudecker,FC St. Pauli,20,German 2. Bundesliga
3834,12568,Bruno Edgar Silva Almeida,Moreirense FC,23,Portuguese Primeira Liga
3835,12578,Eliseu Mendja Soares Cassamá,Rio Ave FC,23,Portuguese Primeira Liga
3836,12579,Aristóteles Romero,Crotone,21,Italian Serie A
3837,12589,Ibrahima Niane,FC Metz,18,French Ligue 1
3838,12594,Felix Götze,FC Bayern Munich,19,German Bundesliga
3839,12598,Antonio Santurro,Bologna,25,Italian Serie A
3840,12602,Scott McTominay,Manchester United,20,English Premier League
3841,12617,Raphael Rossi Branco,Boavista FC,26,Portuguese Primeira Liga
3842,12618,Pedro López Galisteo,Real Betis Balompié,22,Spanish Primera División
3843,12620,Charles Traoré,ES Troyes AC,25,French Ligue 1
3844,12622,Dráusio Luis Salia Gil,CS Marítimo,25,Portuguese Primeira Liga
3845,12624,Florian Kath,SC Freiburg,22,German Bundesliga
3846,12635,Davide Frattesi,Sassuolo,17,Italian Serie A
3847,12651,Mario González Gutiérrez,Villarreal CF,21,Spanish Primera División
3848,12659,Kelechi John,Rio Ave FC,18,Portuguese Primeira Liga
3849,12666,Marc-Aurèle Caillard,En Avant de Guingamp,23,French Ligue 1
3850,12674,Jhonder Cádiz,Moreirense FC,21,Portuguese Primeira Liga
3851,12679,Halil Akbunar,Göztepe,23,Turkish Süper Lig
3852,12685,Sad?k Çiftp?nar,Evkur Yeni Malatyaspor,24,Turkish Süper Lig
3853,12690,Thomas Bröker,MSV Duisburg,32,German 2. Bundesliga
3854,12694,Arijanet Muric,Manchester City,18,English Premier League
3855,12697,Patrick Burner,OGC Nice,21,French Ligue 1
3856,12706,Cristiano Castro Gomes,CS Marítimo,22,Portuguese Primeira Liga
3857,12727,Daniel Molina Orta,RC Celta de Vigo,21,Spanish Primera División
3858,12739,Mile Svilar,SL Benfica,17,Portuguese Primeira Liga
3859,12759,Thierry Ramos Graça,Estoril Praia,22,Portuguese Primeira Liga
3860,12762,George Thomas,Leicester City,20,English Premier League
3861,12768,Samuel Moutoussamy,FC Nantes,20,French Ligue 1
3862,12772,Ignacio Abeledo Rute,Málaga CF,21,Spanish Primera División
3863,12789,Wilfried Kanga,Angers SCO,19,French Ligue 1
3864,12793,Musa Araz,Atiker Konyaspor,23,Turkish Süper Lig
3865,12796,Aidi Fulang Xisi,Boavista FC,26,Portuguese Primeira Liga
3866,12805,Tugay Kaçar,Osmanl?spor,23,Turkish Süper Lig
3867,12806,Arianit Ferati,FC Erzgebirge Aue,19,German 2. Bundesliga
3868,12807,Robin Becker,Eintracht Braunschweig,20,German 2. Bundesliga
3869,12815,Ahmet Eyüp Türkaslan,Osmanl?spor,22,Turkish Süper Lig
3870,12818,Carlos Calderón López,Getafe CF,22,Spanish Primera División
3871,12845,David Alcibiade,FC Nantes,25,French Ligue 1
3872,12847,Ander Cantero Armendariz,Villarreal CF,22,Spanish Primera División
3873,12853,Ronan Touzet,Angers SCO,19,French Ligue 1
3874,12882,Joseba Muguruza Bengoa,Real Sociedad,23,Spanish Primera División
3875,12883,Onur Ay?k,Akhisar Belediyespor,27,Turkish Süper Lig
3876,12890,Mamadou Doucouré,Borussia Mönchengladbach,19,German Bundesliga
3877,12896,João Paulo Silva Pinho,FC Paços de Ferreira,25,Portuguese Primeira Liga
3878,12902,Lloyd Jones,Liverpool,21,English Premier League
3879,12907,Enrique Cebriá Alcover,SD Eibar,22,Spanish Primera División
3880,12910,Dimitry Bertaud,Montpellier Hérault SC,19,French Ligue 1
3881,12918,Canberk Ayd?n,Kayserispor,23,Turkish Süper Lig
3882,12919,Justin Möbius,VfL Wolfsburg,20,German Bundesliga
3883,12922,Hendrio Araujo da Silva,FC Paços de Ferreira,23,Portuguese Primeira Liga
3884,12923,Duarte Beirão Valente,Estoril Praia,17,Portuguese Primeira Liga
3885,12924,Fabrizio Brignani,Bologna,19,Italian Serie A
3886,12928,Macaulay Gillesphey,Newcastle United,21,English Premier League
3887,12930,Raphaël Adicéam,Amiens SC Football,26,French Ligue 1
3888,12934,Jamie Sterry,Newcastle United,21,English Premier League
3889,12946,Hasan Bilal,Kasimpa?a SK,19,Turkish Süper Lig
3890,12947,Mour Paye,ES Troyes AC,23,French Ligue 1
3891,12959,Ryan Hill,Stoke City,19,English Premier League
3892,12978,João Pedro Barradas Novais,Rio Ave FC,23,Portuguese Primeira Liga
3893,12982,Álvaro Queijeiro Pintos,RC Deportivo de La Coruña,24,Spanish Primera División
3894,12989,Nicolas Cozza,Montpellier Hérault SC,18,French Ligue 1
3895,12991,Ihsan Sacko,RC Strasbourg,19,French Ligue 1
3896,13002,Jake Flannigan,Southampton,21,English Premier League
3897,13004,Roli Pereira de Sa,FC Nantes,20,French Ligue 1
3898,13005,Nicolás Schiappacasse,Atlético Madrid,18,Spanish Primera División
